source_id,model,family,generation,parameter_b,task,n,accuracy,mean_input_tokens,mean_output_tokens
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,arc_challenge,1172,0.430034,131.643,192.971
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,bbh,6081,0.305542,475.895,145.66
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,boolq,3270,0.65107,191.343,2.981
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,gsm8k,1319,0.386657,2219.308,340.119
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,hellaswag,10042,0.325433,248.861,40.287
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,ifeval,541,0.251386,75.392,1090.619
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,math,5000,0.26,227.502,1316.084
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,mmlu,14042,0.393819,174.89,5
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,mmlu_pro,12032,0.147357,279.378,549.545
wild,Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,piqa,1838,0.471708,173.445,68.146
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,arc_challenge,1172,0.716724,131.643,5
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,bbh,6081,0.391054,478.153,16.204
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,boolq,3270,0.768196,191.343,2.0
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,gsm8k,1319,0.673237,2219.308,256.764
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,hellaswag,10042,0.556065,248.861,5
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,ifeval,541,0.401109,75.392,607.366
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,math,5000,0.3962,399.596,645.742
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,mmlu,14042,0.545293,174.89,5
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,mmlu_pro,12032,0.297041,287.47,504.81
wild,Qwen/Qwen2.5-1.5B-Instruct,qwen,qwen2.5,1.5,piqa,1838,0.717084,173.445,6.199
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,arc_challenge,1172,0.838737,131.643,72.912
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,bbh,6081,0.435455,477.627,13.889
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,boolq,3270,0.770948,191.343,2
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,gsm8k,1319,0.83624,2219.308,235.835
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,hellaswag,10042,0.708723,248.861,5
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,ifeval,541,0.597043,75.392,868.555
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,math,5000,0.5996,497.443,813.723
wild,Qwen/Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,mmlu,14042,0.425438,176.333,6.771
