source_id,comparison_id,task_scope,family,old_model,new_model,old_generation,new_generation,old_parameter_b,new_parameter_b,n_common,old_accuracy,new_accuracy,accuracy_delta,accuracy_delta_ci95_low,accuracy_delta_ci95_high,old_error_count,new_error_count,persistent_correct_count,persistent_error_count,improvement_count,regression_count,improvement_mass,regression_mass,churn_mass,error_persistence,correction_rate,normalized_regression_burden,error_jaccard,error_redistribution_index,mcnemar_exact_p,claim_use,claim_boundary
wild,__all_selected__:llama-3.2-1b -> llama-3.2-3b,__all_selected__,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,54463,0.367148,0.544939,0.177791,0.0,0.0,34467,24784,15222,20010,14457,4774,0.265446,0.087656,0.353102,0.580555,0.419445,0.138509,0.509926,0.490074,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,__all_selected__:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,__all_selected__,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,54464,0.324031,0.489149,0.165118,0.0,0.0,36816,27823,13454,23629,13187,4194,0.242123,0.077005,0.319128,0.641813,0.358187,0.113918,0.576177,0.423823,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,__all_selected__:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,__all_selected__,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,54464,0.324031,0.546159,0.222128,0.0,0.0,36816,24718,12571,19641,17175,5077,0.315346,0.093218,0.408563,0.533491,0.466509,0.137903,0.468837,0.531163,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,__all_selected__:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,__all_selected__,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,54464,0.489149,0.546159,0.05701,0.0,0.0,27823,24718,19920,17997,9826,6721,0.180413,0.123403,0.303815,0.646839,0.353161,0.241564,0.520988,0.479012,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,arc_challenge:llama-3.2-1b -> llama-3.2-3b,arc_challenge,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,1170,0.526496,0.782906,0.25641,0.0,0.0,554,254,561,199,355,55,0.303419,0.047009,0.350427,0.359206,0.640794,0.099279,0.326765,0.673235,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,arc_challenge:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,1170,0.429915,0.716239,0.286324,0.0,0.0,667,332,437,266,401,66,0.342735,0.05641,0.399145,0.398801,0.601199,0.09895,0.362892,0.637108,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,arc_challenge:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,arc_challenge,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,1170,0.429915,0.838462,0.408547,0.0,0.0,667,189,457,143,524,46,0.447863,0.039316,0.487179,0.214393,0.785607,0.068965,0.200561,0.799439,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,arc_challenge:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,arc_challenge,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,1170,0.716239,0.838462,0.122223,0.0,0.0,332,189,789,140,192,49,0.164103,0.04188,0.205983,0.421687,0.578313,0.147589,0.367454,0.632546,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,bbh:llama-3.2-1b -> llama-3.2-3b,bbh,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,5580,0.276882,0.368638,0.091756,0.0,0.0,4035,3523,869,2847,1188,676,0.212903,0.121147,0.33405,0.705576,0.294424,0.167534,0.60433,0.39567,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,bbh:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,bbh,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,5580,0.311111,0.402509,0.091398,0.0,0.0,3844,3334,1293,2891,953,443,0.170789,0.079391,0.250179,0.752081,0.247919,0.115245,0.674364,0.325636,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
