source_id,task_scope,family,pair_count,mean_accuracy_delta,mean_churn_mass,mean_regression_mass,mean_error_persistence,mean_normalized_regression_burden
wild,__all_selected__,llama,1,0.177791,0.353102,0.087656,0.580555,0.138509
wild,__all_selected__,qwen,3,0.148085,0.343835,0.097875,0.607381,0.164462
wild,arc_challenge,llama,1,0.25641,0.350427,0.047009,0.359206,0.099279
wild,arc_challenge,qwen,3,0.272365,0.364102,0.045869,0.34496,0.105168
wild,bbh,llama,1,0.091756,0.33405,0.121147,0.705576,0.167534
wild,bbh,qwen,3,0.083274,0.298566,0.107646,0.711411,0.165228
wild,boolq,llama,1,0.245872,0.359021,0.056575,0.344599,0.122598
wild,boolq,qwen,3,0.079919,0.303772,0.111926,0.385831,0.383801
wild,gsm8k,llama,1,0.334344,0.394996,0.030326,0.331015,0.055633
wild,gsm8k,qwen,3,0.299722,0.370483,0.035381,0.357162,0.076476
wild,hellaswag,llama,1,0.248054,0.437113,0.09453,0.453068,0.150916
wild,hellaswag,qwen,3,0.25554,0.407999,0.076229,0.446548,0.135378
wild,ifeval,llama,1,0.218115,0.325323,0.053604,0.459559,0.106617
wild,ifeval,qwen,3,0.230438,0.331485,0.050524,0.595679,0.074691
wild,math,llama,1,0.2196,0.3012,0.0408,0.658984,0.053431
wild,math,qwen,3,0.2264,0.327067,0.050333,0.59976,0.073627
wild,mmlu,llama,1,0.106971,0.317905,0.105467,0.594613,0.201258
wild,mmlu,qwen,3,0.021113,0.312484,0.145686,0.708383,0.278604
wild,mmlu_pro,llama,1,0.18094,0.344769,0.081914,0.663959,0.104721
wild,mmlu_pro,qwen,3,0.188266,0.34858,0.080157,0.666829,0.101754
wild,piqa,llama,1,0.164171,0.384914,0.110372,0.328358,0.270015
wild,piqa,qwen,3,0.161583,0.429285,0.133851,0.354235,0.34157
