mode,family,pair_count,median_n_common,mean_accuracy_delta,mean_improvement_mass,mean_regression_mass,mean_churn_mass,mean_error_persistence,mean_correction_rate,mean_normalized_regression_burden
default,gemma,10,3008,0.005386,0.123039,0.117653,0.240691,0.859147,0.140853,0.145086
default,qwen,21,3008,0.171574,0.260971,0.089397,0.350367,0.658368,0.341632,0.127513
exclude_low_confidence_fallback,gemma,10,1633,0.228102,0.295877,0.067775,0.363652,0.655372,0.344628,0.081124
exclude_low_confidence_fallback,qwen,21,1747,0.238492,0.314926,0.076433,0.391359,0.54712,0.45288,0.129642
exclude_saved_prediction_models,gemma,3,3008,-0.104609,0.085771,0.190381,0.276152,0.895007,0.104993,0.256834
exclude_saved_prediction_models,qwen,21,3008,0.171574,0.260971,0.089397,0.350367,0.658368,0.341632,0.127513
explicit_marker_only,gemma,10,1633,0.228102,0.295877,0.067775,0.363652,0.655372,0.344628,0.081124
explicit_marker_only,qwen,21,1747,0.238492,0.314926,0.076433,0.391359,0.54712,0.45288,0.129642
raw_only,gemma,10,3008,0.004256,0.121842,0.117586,0.239428,0.860073,0.139927,0.145404
raw_only,qwen,21,3008,0.171574,0.260971,0.089397,0.350367,0.658368,0.341632,0.127513
