model,family,generation,category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
Gemma-2-2B-Instruct,gemma,gemma2,biology,180,98,0.544444,1.0,0.0,2081.928
Gemma-2-2B-Instruct,gemma,gemma2,business,188,63,0.335106,0.957447,0.042553,1229.059
Gemma-2-2B-Instruct,gemma,gemma2,chemistry,302,90,0.298013,1.0,0.0,1648.053
Gemma-2-2B-Instruct,gemma,gemma2,computer science,106,35,0.330189,1.0,0.0,1801.717
Gemma-2-2B-Instruct,gemma,gemma2,economics,202,96,0.475248,1.0,0.0,2151.886
Gemma-2-2B-Instruct,gemma,gemma2,engineering,249,40,0.160643,0.995984,0.004016,2092.133
Gemma-2-2B-Instruct,gemma,gemma2,health,198,65,0.328283,1.0,0.0,2084.793
Gemma-2-2B-Instruct,gemma,gemma2,history,99,24,0.242424,1.0,0.0,2047.03
Gemma-2-2B-Instruct,gemma,gemma2,law,263,56,0.212928,1.0,0.0,2498.122
Gemma-2-2B-Instruct,gemma,gemma2,math,335,100,0.298507,0.991045,0.008955,1283.89
Gemma-2-2B-Instruct,gemma,gemma2,other,230,64,0.278261,0.986957,0.013043,1643.948
Gemma-2-2B-Instruct,gemma,gemma2,philosophy,126,31,0.246032,0.992063,0.007937,2045.897
Gemma-2-2B-Instruct,gemma,gemma2,physics,324,99,0.305556,0.993827,0.006173,1694.074
Gemma-2-2B-Instruct,gemma,gemma2,psychology,206,92,0.446602,1.0,0.0,2342.505
Gemma-3-1B-Instruct,gemma,gemma3,biology,180,26,0.144444,1.0,0.0,1879.261
Gemma-3-1B-Instruct,gemma,gemma3,business,188,22,0.117021,0.968085,0.031915,935.367
Gemma-3-1B-Instruct,gemma,gemma3,chemistry,302,22,0.072848,0.983444,0.016556,938.94
Gemma-3-1B-Instruct,gemma,gemma3,computer science,106,13,0.122642,1.0,0.0,1298.472
Gemma-3-1B-Instruct,gemma,gemma3,economics,202,35,0.173267,1.0,0.0,1722.851
Gemma-3-1B-Instruct,gemma,gemma3,engineering,249,31,0.124498,0.97992,0.02008,963.177
Gemma-3-1B-Instruct,gemma,gemma3,health,198,28,0.141414,1.0,0.0,1588.702
Gemma-3-1B-Instruct,gemma,gemma3,history,99,13,0.131313,1.0,0.0,2235.343
Gemma-3-1B-Instruct,gemma,gemma3,law,263,27,0.102662,1.0,0.0,2504.179
