category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,98,0.544444,1.0,0.0,2081.928
business,188,63,0.335106,0.957447,0.042553,1229.059
chemistry,302,90,0.298013,1.0,0.0,1648.053
computer science,106,35,0.330189,1.0,0.0,1801.717
economics,202,96,0.475248,1.0,0.0,2151.886
engineering,249,40,0.160643,0.995984,0.004016,2092.133
health,198,65,0.328283,1.0,0.0,2084.793
history,99,24,0.242424,1.0,0.0,2047.03
law,263,56,0.212928,1.0,0.0,2498.122
math,335,100,0.298507,0.991045,0.008955,1283.89
other,230,64,0.278261,0.986957,0.013043,1643.948
philosophy,126,31,0.246032,0.992063,0.007937,2045.897
physics,324,99,0.305556,0.993827,0.006173,1694.074
psychology,206,92,0.446602,1.0,0.0,2342.505
