category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,15,0.083333,1.0,0.0,898.617
business,188,27,0.143617,0.941489,0.058511,302.404
chemistry,302,23,0.076159,0.884106,0.115894,275.189
computer science,106,17,0.160377,0.962264,0.037736,521.434
economics,202,22,0.108911,0.99505,0.00495,745.782
engineering,249,20,0.080321,0.899598,0.100402,314.197
health,198,28,0.141414,0.994949,0.005051,632.702
history,99,16,0.161616,0.989899,0.010101,1441.081
law,263,25,0.095057,1.0,0.0,1633.38
math,335,35,0.104478,0.889552,0.110448,216.746
other,230,23,0.1,0.986957,0.013043,498.109
philosophy,126,15,0.119048,0.984127,0.015873,588.556
physics,324,28,0.08642,0.959877,0.040123,322.259
psychology,206,20,0.097087,0.995146,0.004854,783.816
