category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,1,0.005556,0.022222,0.977778,820.728
business,188,9,0.047872,0.074468,0.925532,350.516
chemistry,302,11,0.036424,0.125828,0.874172,487.474
computer science,106,1,0.009434,0.04717,0.95283,527.094
economics,202,0,0.0,0.0,1.0,660.743
engineering,249,12,0.048193,0.168675,0.831325,605.285
health,198,0,0.0,0.010101,0.989899,561.268
history,99,1,0.010101,0.020202,0.979798,889.576
law,263,1,0.003802,0.022814,0.977186,1015.658
math,335,12,0.035821,0.074627,0.925373,287.522
other,230,0,0.0,0.0,1.0,435.243
philosophy,126,1,0.007937,0.007937,0.992063,511.96
physics,324,6,0.018519,0.052469,0.947531,358.63
psychology,206,0,0.0,0.0,1.0,693.432
