category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,55,0.305556,1.0,0.0,2294.028
business,188,40,0.212766,0.925532,0.074468,1282.41
chemistry,302,57,0.188742,0.970199,0.029801,1657.917
computer science,106,22,0.207547,0.990566,0.009434,1833.481
economics,202,55,0.272277,0.99505,0.00495,2169.802
engineering,249,34,0.136546,0.983936,0.016064,1883.084
health,198,46,0.232323,1.0,0.0,2121.308
history,99,16,0.161616,1.0,0.0,2289.152
law,263,42,0.159696,0.992395,0.007605,2458.643
math,335,82,0.244776,0.958209,0.041791,1446.719
other,230,44,0.191304,0.982609,0.017391,1616.991
philosophy,126,14,0.111111,0.992063,0.007937,1984.175
physics,324,59,0.182099,0.987654,0.012346,1626.664
psychology,206,71,0.34466,0.995146,0.004854,2414.17
