category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,23,0.127778,0.894444,0.105556,1720.389
business,188,17,0.090426,0.904255,0.095745,1109.282
chemistry,302,26,0.086093,0.877483,0.122517,1479.321
computer science,106,12,0.113208,0.924528,0.075472,1515.943
economics,202,32,0.158416,0.950495,0.049505,1479.134
engineering,249,28,0.11245,0.84739,0.15261,1715.157
health,198,29,0.146465,0.964646,0.035354,1945.636
history,99,16,0.161616,0.919192,0.080808,2029.859
law,263,27,0.102662,0.840304,0.159696,2000.297
math,335,30,0.089552,0.928358,0.071642,1054.896
other,230,31,0.134783,0.973913,0.026087,1385.93
philosophy,126,21,0.166667,0.968254,0.031746,1314.929
physics,324,38,0.117284,0.851852,0.148148,1316.867
psychology,206,25,0.121359,0.956311,0.043689,1756.087
