category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,31,0.172222,0.994444,0.005556,1026.356
business,188,14,0.074468,0.968085,0.031915,1044.128
chemistry,302,26,0.086093,0.983444,0.016556,1248.437
computer science,106,16,0.150943,1.0,0.0,1246.368
economics,202,38,0.188119,0.985149,0.014851,1167.124
engineering,249,25,0.100402,0.987952,0.012048,1423.45
health,198,29,0.146465,0.994949,0.005051,1126.52
history,99,17,0.171717,1.0,0.0,698.485
law,263,38,0.144487,0.988593,0.011407,967.551
math,335,51,0.152239,0.973134,0.026866,1141.328
other,230,24,0.104348,0.995652,0.004348,1053.796
philosophy,126,16,0.126984,0.992063,0.007937,905.087
physics,324,29,0.089506,0.981481,0.018519,1219.414
psychology,206,37,0.179612,0.995146,0.004854,1300.121
