category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,47,0.261111,1.0,0.0,2430.767
business,188,31,0.164894,0.994681,0.005319,1692.654
chemistry,302,38,0.125828,0.990066,0.009934,1997.791
computer science,106,20,0.188679,0.990566,0.009434,2141.745
economics,202,44,0.217822,0.99505,0.00495,2486.837
engineering,249,32,0.128514,1.0,0.0,2261.265
health,198,20,0.10101,0.989899,0.010101,2185.904
history,99,20,0.20202,1.0,0.0,2333.414
law,263,30,0.114068,1.0,0.0,2850.605
math,335,68,0.202985,0.964179,0.035821,1735.307
other,230,44,0.191304,1.0,0.0,1890.526
philosophy,126,19,0.150794,1.0,0.0,2231.548
physics,324,40,0.123457,1.0,0.0,2078.12
psychology,206,42,0.203883,1.0,0.0,2441.49
