category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,114,0.633333,0.994444,0.005556,2546.272
business,188,101,0.537234,0.989362,0.010638,1788.255
chemistry,302,116,0.384106,0.996689,0.003311,2007.685
computer science,106,42,0.396226,1.0,0.0,2103.387
economics,202,120,0.594059,1.0,0.0,2532.347
engineering,249,65,0.261044,1.0,0.0,2299.747
health,198,96,0.484848,1.0,0.0,2313.419
history,99,36,0.363636,1.0,0.0,2630.424
law,263,56,0.212928,1.0,0.0,2885.502
math,335,188,0.561194,0.99403,0.00597,1691.606
other,230,102,0.443478,1.0,0.0,1862.474
philosophy,126,38,0.301587,1.0,0.0,2511.468
physics,324,145,0.447531,0.990741,0.009259,2084.275
psychology,206,111,0.538835,0.995146,0.004854,2622.699
