category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,61,0.338889,1.0,0.0,4228.483
business,188,72,0.382979,1.0,0.0,3256.617
chemistry,302,78,0.258278,1.0,0.0,3230.851
computer science,106,30,0.283019,1.0,0.0,3815.821
economics,202,71,0.351485,1.0,0.0,4277.411
engineering,249,53,0.212851,1.0,0.0,3583.695
health,198,45,0.227273,1.0,0.0,4120.758
history,99,21,0.212121,1.0,0.0,4297.192
law,263,30,0.114068,1.0,0.0,4689.03
math,335,137,0.408955,1.0,0.0,3074.325
other,230,51,0.221739,1.0,0.0,3872.343
philosophy,126,21,0.166667,1.0,0.0,4157.746
physics,324,99,0.305556,1.0,0.0,3477.383
psychology,206,73,0.354369,1.0,0.0,4414.539
