category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,102,0.566667,1.0,0.0,3863.65
business,188,115,0.611702,1.0,0.0,2411.947
chemistry,302,149,0.493377,1.0,0.0,2425.954
computer science,106,56,0.528302,1.0,0.0,3171.208
economics,202,127,0.628713,1.0,0.0,3734.015
engineering,249,71,0.285141,1.0,0.0,2832.329
health,198,85,0.429293,1.0,0.0,3854.975
history,99,35,0.353535,1.0,0.0,4266.283
law,263,48,0.18251,1.0,0.0,4511.529
math,335,213,0.635821,1.0,0.0,2046.481
other,230,114,0.495652,1.0,0.0,3293.891
philosophy,126,62,0.492063,1.0,0.0,3733.23
physics,324,163,0.503086,0.996914,0.003086,2594.302
psychology,206,111,0.538835,1.0,0.0,4165.291
