category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,98,0.544444,0.994444,0.005556,3184.172
business,188,74,0.393617,1.0,0.0,2323.585
chemistry,302,103,0.34106,0.996689,0.003311,2514.248
computer science,106,41,0.386792,1.0,0.0,2920.198
economics,202,94,0.465347,0.99505,0.00495,3211.866
engineering,249,46,0.184739,0.995984,0.004016,2606.422
health,198,59,0.29798,1.0,0.0,3320.222
history,99,22,0.222222,1.0,0.0,3556.97
law,263,45,0.171103,0.996198,0.003802,3767.768
math,335,131,0.391045,0.99403,0.00597,2168.764
other,230,58,0.252174,1.0,0.0,2798.487
philosophy,126,30,0.238095,1.0,0.0,3047.873
physics,324,104,0.320988,0.990741,0.009259,2591.827
psychology,206,89,0.432039,0.995146,0.004854,3284.786
