category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,129,0.716667,1.0,0.0,3031.522
business,188,104,0.553191,0.994681,0.005319,2296.144
chemistry,302,138,0.456954,0.996689,0.003311,2462.589
computer science,106,56,0.528302,1.0,0.0,2818.491
economics,202,135,0.668317,0.99505,0.00495,3104.02
engineering,249,60,0.240964,1.0,0.0,2616.068
health,198,79,0.39899,1.0,0.0,3299.934
history,99,31,0.313131,1.0,0.0,3668.818
law,263,64,0.243346,1.0,0.0,4045.989
math,335,188,0.561194,0.997015,0.002985,2116.451
other,230,88,0.382609,1.0,0.0,2652.078
philosophy,126,51,0.404762,1.0,0.0,2945.008
physics,324,157,0.484568,0.993827,0.006173,2507.543
psychology,206,131,0.635922,1.0,0.0,3228.403
